text,label
"PERSON PERSON was the headliner in the three-prospect package the ORGANIZATION received from the ORGANIZATION for PERSON last July, but PERSON quickly asserted himself as one of the best starting pitchers in his new system. PERSON signed him for a well over-slot $600,000 as an 11th-rounder in 2016, one month after he infamously threw a 164-pitch complete game at ORGANIZATION (PERSON, Pa.). He impressed the ORGANIZATION so much in his first spring training that they sent him to low Class A at age 18, and he struck out 113 in 94 1/3 innings between the two organizations.PERSON added strength during his first full year in pro ball, boosting his high-spin-rate fastball consistently into the low 90s, and his 6-foot-4 frame still has room to add more muscle. His curveball already had good depth and added power as well, becoming a consistent plus pitch. His changeup isn't as consistent as his other offerings but has the makings of an average pitch.Because PERSON didn't become a full-time pitcher until his junior year in high school, he's just scratching the surface of his potential. There's still some effort in his delivery but he's athletic and toned it down in his first full season, so the ORGANIZATION think he'll throw more strikes. His curveball and competitiveness will serve him well if he eventually moves into the bullpen.",-1
"PERSON made headlines for all the wrong reasons when he threw a nine-inning, 164-pitch complete game at ORGANIZATION (PERSON, Pa.) in May 2016. A month later, the ORGANIZATION selected him in the 11th round and gave him $600,000 to pass up a commitment to GPE. He made such a good impression in his first Spring Training that he earned an assignment to low Class A at age 18, and he continued to stand out before the ORGANIZATION acquired him in the Yu Darvish trade in July.PERSON's best present weapon is his curveball, which has depth and could become a true plus offering once it adds more power. He usually works at 88-93 mph with his fastball and should add more velocity once he fills out his projectable 6-foot-4 frame. His changeup is more of a work in progress, but has some potential.He didn't become a full-time pitcher until he was a junior in high school, so PERSON still has room for lots of growth. He has a quick arm and his pitches should continue to improve as he gets stronger and refines his delivery. ORGANIZATION officials praise his competitive nature.",-1
"PERSON PERSON pitched at FACILITY (ORGANIZATION, GPE.) and GPE (GPE.) JC before embarking on a 14-year big league career. His nephew PERSON, meanwhile, is already following the same path. After turning down the ORGANIZATION as a 25th-round Draft pick, he returned to the ORGANIZATION and emerged as one of the top junior college pitching prospects, leading all Division I ORGANIZATION pitchers in strikeouts (156) and strikeout rate (18.8 per nine innings). The ORGANIZATION made PERSON their fourth-round pick in June, signed him for slightly above slot value and then watched him carve up hitters while reaching PERSON, where he posted double-digit strikeouts in two of his seven starts.PERSON's curveball is nasty, a true plus pitch that he can also manipulate to have harder, slider-like action. He opened his sophomore season throwing in the upper 80s but now sits 91-94 mph and can touch 96. His changeup has come along quickly in his first full season and gives PERSON a third big league-caliber pitch that he uses to neutralize right-handed hitters. PERSON works from the third-base side of the mound and has an athletic but funky delivery that masks everything he throws with deception.PERSON's delivery also can hamper his ability to throw strikes at times, and the ORGANIZATION hope to smoothen it out without costing him any of his natural deception. He might not have the cleanest profile and does come with some risk, but PERSON's bat-missing ability is undeniable and could help him rise through the ranks relatively quickly en route to a back-of-the-rotation role, perhaps even more.",-1
"PERSON PERSON pitched at FACILITY (ORGANIZATION, GPE.) and GPE (GPE.) JC before embarking on a 14-year big league career. His nephew PERSON, meanwhile, is already following the same path. After turning down the ORGANIZATION as a 25th-rounder last summer, he returned to the ORGANIZATION and emerged as one of the top junior college pitching prospects, leading all Division I ORGANIZATION pitchers in strikeouts (156) and strikeout rate (18.8 per nine innings). The ORGANIZATION made PERSON their fourth-round pick in June, signed him for slightly above slot value ($520,000) and assigned him to Rookie-level Helena.PERSON's money pitch is a plus curveball that he can manipulate into a harder, shorter slider at times. He opened his sophomore season throwing in the upper 80s but ended the year working at 91-94 mph while reaching double-digit strikeouts in his last five starts, including 17 in his final outing. He also has a changeup that he doesn't use very often. PERSON is athletic but has a funky delivery that hampers his ability to throw strikes. It does, however, give him plenty of deception, leading to lots of swings and misses. Some scouts worry that most of his whiffs come out of the zone, either on curveballs down or fastballs up, and wonder how his stuff will play against more advanced hitters. If it all clicks for PERSON, he could rise through the ranks relatively quickly en route to a back-of-the-rotation role, and perhaps even more.",-1
"The GPE continued their recent trend of collecting international players with advanced bats when they signed PERSON out of GPE for $1.5 million, the largest bonus in their 2017 class. He would have come to the GPE for his debut at age 17 last summer, but he fractured his right arm in May and missed the entire Rookie-level PERSON season. He's thriving while seeing his first pro action this summer in the AZL.A switch-hitter, PERSON has a quick, compact swing and exhibits precocious feel for the barrel from both sides of the plate. He makes repeated hard contact, already drives balls to the gaps and should have 20-homer power once he matures physically. Presently an above-average runner, he figures to slow down a bit as he gets stronger. Though PERSON would have broken into pro ball as a shortstop in 2018, most international scouts thought he was destined for second base and the GPE have deployed him there this summer. While his actions and average arm are substandard at short, his fast hands should be an asset when it comes to turning double plays at second. He could become a solid defender at second base if he can quicken his footwork.",-1
"Ranked No. 22 on ORGANIZATION's list of the Top 30 international prospects for 2017-18, GPE endeared himself to evaluators as a ORGANIZATION amateur with his projectable frame and overall potential as a switch-hitting shortstop. The Indians were among the teams intrigued by GPE's upside, so much so that they signed him with a $1.5 million bonus, the largest of all their July 2 signees.Scouts like GPE's balanced hitting approach at the plate, quick hands and short swing. He makes hard contact and has also shown the ability to hit for power, driving the ball with authority into the gaps from both sides of the plate. That will only improve as he adds strength to his projectable frame, leading many to project GPE as at least an average hitter with similar power. On the other side of the ball, GPE shows solid infield actions and a decent glove. There's still room for improvement with his footwork on defense, but there's no questioning his arm strength and accuracy. Because of his skill set, GPE projects to be an average fielder and is likely best suited for second base.",-1
"GPE is a strong and athletic middle infielder with the potential to be a special hitter. The Indians certainly agreed with that assessment, as they secured the rights to the ORGANIZATION switch-hitter's future with a $1.5 million bonus, the largest of all their July 2 signees.Scouts like GPE's balanced hitting approach at the plate, quick hands and short swing. The switch-hitting infielder has shown the ability to drive the ball into the gaps from both sides of the plate. He makes hard contact and has also shown the ability to hit for power.On the other side of the ball, GPE shows solid infield actions and a decent glove. There's still room for improvement with his footwork on defense, but there's no questioning his arm strength and accuracy. Because of his skill set, GPE projects to be an average fielder and is likely best suited for second base.",-1
"Prior to the 2018 Draft, the earliest a player from PERSON A&M-Corpus PERSON had been drafted was the ninth round. PERSON's path to easily beating that hasn't necessarily been straight. He was academically ineligible as a sophomore, but then came out and showed very good stuff early in the spring. While he wasn't as dominant all year, it was still enough for the ORGANIZATION to take him in the third round and he went straight to the Class A Advanced California League for his full-season debut.PERSON was up to 98 mph at times during his junior season, sitting more in the 92-95 mph range, throwing the pitch with good sink and showing he could maintain his velocity through starts. He has good feel for his secondary stuff and can throw a distinct curve and slider, though they sometimes blur together into a power slurve. He can really spin it and his breaking stuff does flash plus and he has solid tumbling changeup.Though he has swing-and-miss stuff, PERSON didn't dominate in college as much as one would think, as he has trouble commanding his pitches both within and outside the strike zone. With a funky delivery, he might best be suited for the bullpen, but he was given a chance to start at the start of his pro career.",-1
"One of the best two-way players in college baseball, PERSON doubled as a third baseman and closer for a resurgent GPE program the last two years. Though he ranked among the ORGANIZATION Division I saves leaders thanks to an 88-92 mph fastball and an effective slider, pro teams were looking at his value solely as a position player in the GPE. A strong junior season catapulted him into the second round, where the ORGANIZATION gave him just over $1.1 million, full pick value, to sign, then sent him to the short-season LOCATION for his pro debut.PERSON makes consistent line-drive contact from the right side of the plate and improved offensively in each of his three seasons with the ORGANIZATION. He has the strength and bat speed to hit for more power -- he shows at least solid raw pop in batting practice and more than tripled his career home run total as a junior -- but he'll probably top out at 12-15 homers per year unless he adds more loft to his swing. He puts the bat on the ball so easily that he rarely walks, another adjustment he'll have to make as he progresses in his pro career.PERSON has fringy speed out of the batter's box but a quicker first step that helps make him at least a solid defender at third base. He also has soft hands and a strong arm, though he needs to improve his defensive consistency. If everything comes together, he could be a .270 hitter with 20 homers who's an asset at the hot corner.",-1
"Finding college pitchers with both track record and unreached potential is a rarity. But that's exactly what the ORGANIZATION think they might have found in PERSON, their fourth-round pick in the 2018 Draft. A converted shortstop who didn't pitch much until later in his amateur career, PERSON spent most of his first two years at ORGANIZATION pitching out of the bullpen. He made a successful move to the rotation as a junior and has kept on looking like a future starter in his year-plus with the ORGANIZATION.PERSON stands out because of his athleticism, his live and fresh arm and his upside. He commands his low-90s fastball well, allowing it to play up, and he complements it well with his solid changeup, his best secondary offering. He also mixes in a breaking ball that's still developing, but has the chance to give him three usable pitches.Thanks to his ability to repeat his delivery, PERSON has been a strike-throwing machine. There could be more to unlock here, which would allow him to reach a ceiling as a back-end starter.",-1
